,gameId,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,winner
0,3326086514,2,1,1,1,1,2,0
1,3229566029,1,1,1,0,1,1,0
2,3327363504,2,1,1,1,2,0,0
3,3326856598,1,1,1,1,1,0,0
4,3330080762,2,1,1,1,1,0,0
5,3287435705,2,2,1,1,2,0,0
6,3314215542,1,2,1,1,1,1,0
7,3329224025,1,1,0,0,2,1,0
8,3318040883,2,2,2,0,2,2,0
9,3327786881,2,2,2,2,2,0,0
10,3325996400,2,2,2,2,2,2,0
11,3284613292,1,2,1,0,2,1,0
12,3321570535,1,1,0,1,2,1,0
13,3323144943,2,2,1,0,1,0,0
14,3329332855,2,2,1,1,2,0,0
15,3322311228,2,1,1,0,1,0,0
16,3316242660,2,2,2,2,2,0,0
17,3330057565,2,1,1,1,1,1,0
18,3318940474,1,2,2,0,2,0,0
19,3320637674,1,2,2,2,1,1,0
20,3295071448,1,1,1,2,1,2,0
21,3321629795,1,2,2,2,1,0,0
22,3289287394,1,2,2,0,2,0,0
23,3315917080,1,1,1,1,1,1,0
24,3319260786,2,2,2,0,1,0,0
25,3287686351,2,2,2,0,2,1,0
26,3327949154,2,2,1,1,2,2,0
27,3329435919,2,2,0,0,2,0,0
28,3328637035,1,2,2,2,2,2,0
29,3261234207,1,1,1,1,1,1,0
30,3327393480,2,1,2,2,1,1,0
31,3291817645,1,1,1,2,1,0,0
32,3323377026,1,1,1,2,1,0,0
33,3317736423,1,2,2,2,2,0,0
34,3330224197,1,1,2,2,1,1,0
35,3308980402,2,2,2,0,2,0,0
36,3246968903,2,2,2,0,2,0,0
37,3322361630,1,1,1,0,1,0,0
38,3293632530,2,1,1,0,1,0,0
39,3308987932,2,1,1,0,1,1,0
40,3324519930,2,1,2,2,1,2,0
41,3326242650,2,2,2,0,2,2,0
42,3329416851,2,1,1,1,1,1,0
43,3324363232,2,2,2,0,2,0,0
44,3322709332,1,2,1,1,1,1,0
45,3255360088,1,2,1,0,2,0,0
46,3327752527,1,2,1,2,2,2,0
47,3311009322,2,2,2,0,2,1,0
48,3321629027,2,1,2,2,2,2,0
49,3299362032,2,2,1,1,1,2,0
50,3325726219,1,1,2,1,1,1,0
51,3321237376,1,1,1,0,1,0,0
52,3321305647,2,2,2,2,2,2,0
53,3329852632,1,1,1,0,1,1,0
54,3329066143,1,2,2,1,1,2,0
55,3330150647,1,1,1,0,2,0,0
56,3330336673,2,2,2,2,2,2,0
57,3265461788,1,1,1,1,2,1,0
58,3323194067,2,2,2,0,2,0,0
59,3327643001,1,1,1,1,1,0,0
60,3325673769,1,2,1,1,1,1,0
61,3256026885,1,1,1,0,1,1,0
62,3311427599,2,2,2,2,2,2,0
63,3282627547,2,2,2,0,1,1,0
64,3258796399,0,0,0,0,0,0,0
65,3328984872,1,1,0,0,1,1,0
66,3325843025,1,1,1,0,2,0,0
67,3325613900,2,1,1,1,2,2,0
68,3323302726,1,2,2,2,2,0,0
69,3280198998,2,1,1,1,1,0,0
70,3325567495,1,2,2,2,2,2,0
71,3310827613,1,2,2,2,2,2,0
72,3287517913,2,1,1,1,2,1,0
73,3329315051,1,1,1,1,1,1,0
74,3263401061,1,2,2,2,2,0,0
75,3327484989,2,1,0,0,2,0,0
76,3330473044,2,2,2,1,1,0,0
77,3306566368,1,1,0,0,0,0,0
78,3234883677,1,1,2,1,1,1,0
79,3272819198,2,1,1,1,1,1,0
80,3326112788,2,2,1,1,1,2,0
81,3329437618,2,1,1,1,1,2,0
82,3330152268,1,0,0,0,0,0,0
83,3277742106,2,2,2,2,2,2,0
84,3319437727,1,1,0,0,2,0,0
85,3281365058,2,2,2,0,1,0,0
86,3322626012,2,1,1,1,2,0,0
87,3325976587,1,1,0,0,1,0,0
88,3324255930,1,1,2,1,1,0,0
89,3325663188,2,1,1,1,1,0,0
90,3327487116,1,2,2,2,2,2,0
91,3331653671,1,1,1,0,1,1,0
92,3320571127,1,1,1,1,2,0,0
93,3326233952,2,2,2,2,1,0,0
94,3320571491,2,1,2,2,1,1,0
95,3310530097,2,2,1,1,1,2,0
96,3330689896,1,1,1,1,2,0,0
97,3304939953,1,1,1,0,1,1,0
98,3296306866,1,2,2,0,2,2,0
99,3323496212,1,2,2,2,2,0,0
100,3304030176,1,1,1,2,2,0,0
101,3324925505,1,1,2,1,1,0,0
102,3225725905,1,1,1,1,2,1,0
103,3324239752,2,2,2,2,2,0,0
104,3326047211,1,1,1,1,1,2,0
105,3322398507,1,1,2,2,2,1,0
106,3323959835,2,2,0,1,2,0,0
107,3313277570,1,2,2,0,2,0,0
108,3238320164,1,1,2,2,2,0,0
109,3329961731,2,1,1,1,2,0,0
110,3326343190,1,1,1,0,1,0,0
111,3308713607,2,1,1,1,1,0,0
112,3288402128,1,1,1,0,1,0,0
113,3315759621,1,1,1,1,1,0,0
114,3317001937,1,1,2,2,1,1,0
115,3314035078,1,2,1,1,1,1,0
116,3315934285,2,2,0,0,2,0,0
117,3327839556,2,1,1,1,1,0,0
118,3301879852,2,1,1,1,2,1,0
119,3246799766,1,0,0,0,0,0,0
120,3233469276,2,1,0,0,0,0,0
121,3264123009,1,2,2,2,2,1,0
122,3221218999,2,2,2,0,2,2,0
123,3329172827,1,1,1,1,1,1,0
124,3331509281,2,1,0,0,2,0,0
125,3327364299,2,1,1,2,2,0,0
126,3329302998,2,1,2,2,2,0,0
127,3308358422,2,1,1,0,2,1,0
128,3322734650,2,1,1,0,1,0,0
129,3321518451,1,2,0,0,2,0,0
130,3327218687,1,1,2,2,2,0,0
131,3327581606,2,2,1,1,1,1,0
132,3331184032,1,1,1,1,1,1,0
133,3219978764,2,1,1,1,1,1,0
134,3267213499,2,2,0,0,2,0,0
135,3322707545,2,2,0,0,2,0,0
136,3302106475,1,2,2,0,1,0,0
137,3235294598,2,2,1,1,1,0,0
138,3329680020,1,2,2,1,1,2,0
139,3330475059,1,1,1,0,1,0,0
140,3323865742,2,1,1,1,1,0,0
141,3313178613,1,2,2,2,2,0,0
142,3321021689,1,1,0,2,1,0,0
143,3329116990,1,2,2,2,2,0,0
144,3319301422,2,2,0,0,0,0,0
145,3273969038,1,1,2,2,2,0,0
146,3327930981,2,1,1,0,1,0,0
147,3320765224,1,1,2,0,2,0,0
148,3321085501,2,2,1,2,2,0,0
149,3284885837,1,0,0,0,0,0,0
150,3319410490,2,2,2,0,2,0,0
151,3222173823,2,2,2,0,1,0,0
152,3329059618,2,2,1,1,1,2,0
153,3322300709,2,2,2,2,2,2,0
154,3315005993,1,2,2,2,2,0,0
155,3328235024,1,1,1,0,1,1,0
156,3325899099,1,2,2,0,2,2,0
157,3322411139,2,1,1,1,1,0,0
158,3317568621,1,2,1,0,1,1,0
159,3278485058,1,1,0,0,1,0,0
160,3323450176,2,2,1,2,1,2,0
161,3329355820,1,1,2,2,1,0,0
162,3329523242,1,1,1,1,1,1,0
163,3300523019,1,2,1,0,1,0,0
164,3260960194,2,1,1,1,1,2,0
165,3330029652,1,1,1,2,2,1,0
166,3283544172,1,1,1,1,1,0,0
167,3313865303,2,2,1,1,2,2,0
168,3326688250,2,2,2,2,2,2,0
169,3228575167,1,1,0,0,0,0,0
170,3328059536,1,2,1,1,2,1,0
171,3320779522,1,2,2,1,1,2,0
172,3292256236,2,2,2,2,1,0,0
173,3285648979,1,1,2,0,2,0,0
174,3319744291,2,1,1,0,1,0,0
175,3233271653,2,1,2,2,2,0,0
176,3328257946,1,1,1,0,1,1,0
177,3318631365,1,2,2,0,1,2,0
178,3330134561,2,1,1,0,0,0,0
179,3329879618,1,2,2,2,2,2,0
180,3315337879,1,1,1,0,1,0,0
181,3324357625,2,2,2,0,2,0,0
182,3319890638,2,2,2,1,2,0,0
183,3319065982,2,1,2,1,2,0,0
184,3327210456,1,2,1,2,1,0,0
185,3220489176,2,1,1,0,1,0,0
186,3329988115,1,2,1,1,1,0,0
187,3218051336,1,1,1,1,1,1,0
188,3273955910,2,2,1,1,2,2,0
189,3306378109,1,2,2,2,2,1,0
190,3325854973,2,2,1,1,2,1,0
191,3321667006,1,2,2,0,2,0,0
192,3290591993,2,2,2,0,1,0,0
193,3317891706,1,2,1,0,2,0,0
194,3317698956,1,1,2,0,1,0,0
195,3306848074,2,2,2,2,2,1,0
196,3325741387,2,2,1,1,2,2,0
197,3325298155,1,1,2,1,2,1,0
198,3329216618,2,1,1,0,1,1,0
199,3325562798,2,2,1,2,2,0,0
200,3276082388,1,1,1,1,1,1,0
201,3283697742,1,1,1,0,1,2,0
202,3228196248,2,1,1,0,1,0,0
203,3328076986,1,1,2,0,1,0,0
204,3323442409,1,1,1,1,1,1,0
205,3319441119,1,1,2,0,2,0,0
206,3263331345,1,1,1,2,1,1,0
207,3326346692,1,1,1,0,1,0,0
208,3230623742,2,1,2,1,2,0,0
209,3324155100,2,2,1,1,2,2,0
210,3318820361,1,1,0,0,1,1,0
211,3275942117,2,2,1,2,2,0,0
212,3250588648,1,2,2,2,2,2,0
213,3319715822,2,2,2,2,2,2,0
214,3330134587,1,2,1,1,2,2,0
215,3243187691,2,2,2,2,2,2,0
216,3319504763,1,1,1,1,1,2,0
217,3313871700,1,2,1,1,2,0,0
218,3328007564,2,2,2,2,2,2,0
219,3288405925,1,1,1,1,1,1,0
220,3331121626,2,1,2,1,1,0,0
221,3264021701,2,2,2,2,2,0,0
222,3272272302,2,2,2,0,2,2,0
223,3300517697,1,1,1,0,1,0,0
224,3327231780,1,1,2,2,2,2,0
225,3262821388,1,1,1,0,0,0,0
226,3330161935,2,1,1,1,1,1,0
227,3255360670,2,2,2,2,2,0,0
228,3301391824,1,2,2,2,2,2,0
229,3326857244,1,1,1,0,1,1,0
230,3308173394,1,1,1,0,1,0,0
231,3324583766,1,2,2,1,2,1,0
232,3286830044,1,1,2,1,2,2,0
233,3321180520,2,1,1,1,1,1,0
234,3324574640,2,1,2,1,1,1,0
235,3331074547,1,2,1,1,2,2,0
236,3301419496,1,2,2,1,1,2,0
237,3251769268,2,1,1,1,2,0,0
238,3270340382,2,2,2,2,1,2,0
