,gameId,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,winner
0,3326086514,2,1,1,1,1,2,1
1,3229566029,1,1,1,0,1,1,1
2,3327363504,2,1,1,1,2,0,1
3,3326856598,1,1,1,1,1,0,1
4,3330080762,2,1,1,1,1,0,1
5,3287435705,2,2,1,1,2,0,1
6,3314215542,1,2,1,1,1,1,1
7,3329224025,1,1,0,0,2,1,1
8,3318040883,2,2,2,0,2,2,2
9,3327786881,2,2,2,2,2,0,2
10,3325996400,2,2,2,2,2,2,2
11,3284613292,1,2,1,0,2,1,1
12,3321570535,1,1,0,1,2,1,1
13,3323144943,2,2,1,0,1,0,1
14,3329332855,2,2,1,1,2,0,2
15,3322311228,2,1,1,0,1,0,1
16,3316242660,2,2,2,2,2,0,2
17,3330057565,2,1,1,1,1,1,1
18,3318940474,1,2,2,0,2,0,2
19,3320637674,1,2,2,2,1,1,2
20,3295071448,1,1,1,2,1,2,2
21,3321629795,1,2,2,2,1,0,2
22,3289287394,1,2,2,0,2,0,2
23,3315917080,1,1,1,1,1,1,1
24,3319260786,2,2,2,0,1,0,2
25,3287686351,2,2,2,0,2,1,2
26,3327949154,2,2,1,1,2,2,2
27,3329435919,2,2,0,0,2,0,2
28,3328637035,1,2,2,2,2,2,2
29,3261234207,1,1,1,1,1,1,1
30,3327393480,2,1,2,2,1,1,2
31,3291817645,1,1,1,2,1,0,1
32,3323377026,1,1,1,2,1,0,1
33,3317736423,1,2,2,2,2,0,1
34,3330224197,1,1,2,2,1,1,2
35,3308980402,2,2,2,0,2,0,2
36,3246968903,2,2,2,0,2,0,2
37,3322361630,1,1,1,0,1,0,1
38,3293632530,2,1,1,0,1,0,1
39,3308987932,2,1,1,0,1,1,1
40,3324519930,2,1,2,2,1,2,2
41,3326242650,2,2,2,0,2,2,2
42,3329416851,2,1,1,1,1,1,1
43,3324363232,2,2,2,0,2,0,2
44,3322709332,1,2,1,1,1,1,2
45,3255360088,1,2,1,0,2,0,1
46,3327752527,1,2,1,2,2,2,1
47,3311009322,2,2,2,0,2,1,2
48,3321629027,2,1,2,2,2,2,2
49,3299362032,2,2,1,1,1,2,2
50,3325726219,1,1,2,1,1,1,2
51,3321237376,1,1,1,0,1,0,1
52,3321305647,2,2,2,2,2,2,2
53,3329852632,1,1,1,0,1,1,1
54,3329066143,1,2,2,1,1,2,2
55,3330150647,1,1,1,0,2,0,1
56,3330336673,2,2,2,2,2,2,2
57,3265461788,1,1,1,1,2,1,1
58,3323194067,2,2,2,0,2,0,2
59,3327643001,1,1,1,1,1,0,1
60,3325673769,1,2,1,1,1,1,1
61,3256026885,1,1,1,0,1,1,1
62,3311427599,2,2,2,2,2,2,2
63,3282627547,2,2,2,0,1,1,2
64,3258796399,0,0,0,0,0,0,2
65,3328984872,1,1,0,0,1,1,1
66,3325843025,1,1,1,0,2,0,1
67,3325613900,2,1,1,1,2,2,1
68,3323302726,1,2,2,2,2,0,2
69,3280198998,2,1,1,1,1,0,1
70,3325567495,1,2,2,2,2,2,2
71,3310827613,1,2,2,2,2,2,2
72,3287517913,2,1,1,1,2,1,1
73,3329315051,1,1,1,1,1,1,1
74,3263401061,1,2,2,2,2,0,2
75,3327484989,2,1,0,0,2,0,1
76,3330473044,2,2,2,1,1,0,1
77,3306566368,1,1,0,0,0,0,1
78,3234883677,1,1,2,1,1,1,2
79,3272819198,2,1,1,1,1,1,1
80,3326112788,2,2,1,1,1,2,1
81,3329437618,2,1,1,1,1,2,1
82,3330152268,1,0,0,0,0,0,1
83,3277742106,2,2,2,2,2,2,2
84,3319437727,1,1,0,0,2,0,1
85,3281365058,2,2,2,0,1,0,2
86,3322626012,2,1,1,1,2,0,1
87,3325976587,1,1,0,0,1,0,1
88,3324255930,1,1,2,1,1,0,2
89,3325663188,2,1,1,1,1,0,1
90,3327487116,1,2,2,2,2,2,2
91,3331653671,1,1,1,0,1,1,1
92,3320571127,1,1,1,1,2,0,1
93,3326233952,2,2,2,2,1,0,2
94,3320571491,2,1,2,2,1,1,2
95,3310530097,2,2,1,1,1,2,1
96,3330689896,1,1,1,1,2,0,1
97,3304939953,1,1,1,0,1,1,1
98,3296306866,1,2,2,0,2,2,2
99,3323496212,1,2,2,2,2,0,2
100,3304030176,1,1,1,2,2,0,1
101,3324925505,1,1,2,1,1,0,1
102,3225725905,1,1,1,1,2,1,1
